date,day_number,total_cases,new_daily_cases,delta_cases_norm,growth_index,deaths_total,deaths_percentage,daily_deaths,death_index,daily_var_percentage,total_hospitalized,delta_hospitalized,recovered,daily_recoveries,swabs,delta_swabs,swabs_and_cases,swabs_normalized
20-feb-20,1,3,3,13,,1,,1,,,,,0,0,,,,
21-feb-20,2,16,13,63,"433,33%",2,,1,"1,59%","100,00%",,,0,0,,,,
22-feb-20,3,79,63,163,"393,75%",3,"3,80%",1,"0,61%","50,00%",,,0,0,,,,
23-feb-20,4,157,78,300,"98,73%",7,"4,46%",4,"1,33%","133,33%",,,0,0,,,,
24-feb-20,5,229,72,799,"45,86%",11,"4,80%",4,"0,50%","57,14%",127,,1,1,4324,4324,"1,67%",16
25-feb-20,6,322,93,1038,"40,61%",12,"3,73%",1,"0,10%","9,09%",150,23,1,0,8623,4299,"2,16%",21
26-feb-20,7,400,78,3884,"24,22%",17,"4,25%",5,"0,13%","41,67%",164,14,3,2,9587,964,"8,09%",78
27-feb-20,8,650,250,4944,"62,50%",21,"3,23%",4,"0,08%","23,53%",304,140,45,42,12014,2427,"10,30%",99
28-feb-20,9,888,238,3104,"36,62%",29,"3,27%",8,"0,26%","38,10%",409,105,45,0,15695,3681,"6,47%",62
29-feb-20,10,1128,240,3884,"27,03%",34,"3,01%",5,"0,13%","17,24%",506,97,50,5,18661,2966,"8,09%",78
01-mar-20,11,1694,566,11017,"50,18%",41,"2,42%",7,"0,06%","20,59%",779,273,56,6,21127,2466,"22,95%",221
02-mar-20,12,2036,342,7401,"20,19%",52,"2,55%",11,"0,15%","26,83%",908,129,149,93,23345,2218,"15,42%",149
03-mar-20,13,2500,464,8870,"22,79%",79,"3,16%",27,"0,30%","51,92%",1263,355,160,11,25856,2511,"18,48%",178
04-mar-20,14,3089,589,7102,"23,56%",107,"3,46%",28,"0,39%","35,44%",1641,378,276,116,29837,3981,"14,80%",143
05-mar-20,15,3858,769,14619,"24,89%",148,"3,84%",41,"0,28%","38,32%",2141,500,414,138,32362,2525,"30,46%",294
06-mar-20,16,4636,778,9343,"20,17%",197,"4,25%",49,"0,52%","33,11%",2856,715,523,109,36359,3997,"19,46%",188
07-mar-20,17,5781,1145,9637,"24,70%",233,"4,03%",36,"0,37%","18,27%",3218,362,589,66,42062,5703,"20,08%",194
08-mar-20,18,7375,1594,9716,"27,57%",366,"4,96%",133,"1,37%","57,08%",4207,989,622,33,49937,7875,"20,24%",195
09-mar-20,19,9172,1797,22179,"24,37%",463,"5,05%",97,"0,44%","26,50%",5049,842,724,102,53826,3889,"46,21%",445
10-mar-20,20,10149,977,6762,"10,65%",631,"6,22%",168,"2,48%","36,29%",5915,866,1004,280,60761,6935,"14,09%",136
11-mar-20,21,12462,2313,8959,"22,79%",827,"6,64%",196,"2,19%","31,06%",6866,951,1045,41,73154,12393,"18,66%",180
12-mar-20,22,15113,2651,9897,"21,27%",1016,"6,72%",189,"1,91%","22,85%",7803,937,1258,213,86011,12857,"20,62%",199
13-mar-20,23,17660,2547,10652,"16,85%",1266,"7,17%",250,"2,35%","24,61%",8754,951,1439,181,97488,11477,"22,19%",214
14-mar-20,24,21150,3490,14340,"19,76%",1441,"6,81%",175,"1,22%","13,82%",9890,1.136,1966,527,109170,11682,"29,88%",288
15-mar-20,25,24747,3597,10977,"17,01%",1809,"7,31%",368,"3,35%","25,54%",11335,1.445,2335,369,124899,15729,"22,87%",220
16-mar-20,26,27980,3233,11880,"13,06%",2158,"7,71%",349,"2,94%","19,29%",12876,1.541,2749,414,137962,13063,"24,75%",239
17-mar-20,27,31506,3526,15825,"12,60%",2503,"7,94%",345,"2,18%","15,99%",14954,2.078,2941,192,148657,10695,"32,97%",318
18-mar-20,28,35700,4194,11923,"13,31%",2978,"8,34%",475,"3,98%","18,98%",16620,1.666,4025,1084,165541,16884,"24,84%",239
19-mar-20,29,41000,5300,14760,"14,85%",3405,"8,30%",427,"2,89%","14,34%",18255,1.635,4440,415,182777,17236,"30,75%",296
20-mar-20,30,47000,6000,11946,"14,63%",4023,"8,56%",618,"5,17%","18,15%",18675,420,5100,660,206886,24109,"24,89%",240
21-mar-20,31,53500,6500,11847,"13,83%",4800,"8,97%",777,"6,56%","19,31%",20565,1.890,6072,972,233222,26336,"24,68%",238
22-mar-20,32,59000,5500,10485,"10,28%",5476,"9,28%",676,"6,45%","14,08%",22855,2.290,7024,952,258402,25180,"21,84%",211
23-mar-20,33,64000,5000,14063,"8,47%",6077,"9,50%",601,"4,27%","10,98%",23896,1.041,7430,406,275468,17066,"29,30%",282
24-mar-20,34,69000,5000,11165,"7,81%",6820,"9,88%",743,"6,65%","12,23%",25333,1.437,8320,890,296964,21496,"23,26%",224
25-mar-20,35,74400,5400,9432,"7,83%",7500,"10,08%",680,"7,21%","9,97%",26601,1.268,9350,1030,324445,27481,"19,65%",189
26-mar-20,36,80500,6100,7997,"8,20%",8150,"10,12%",650,"8,13%","8,67%",28365,1.764,10350,1000,361060,36615,"16,66%",161
27-mar-20,37,86550,6050,8795,"7,52%",9130,"10,55%",980,"11,14%","12,02%",29761,1.396,10950,600,394079,33019,"18,32%",177
28-mar-20,38,92450,5900,7989,"6,82%",10023,"10,84%",893,"11,18%","9,78%",30532,771,12384,1434,429526,35447,"16,64%",160
29-mar-20,39,97600,5150,10088,"5,57%",10800,"11,07%",777,"7,70%","7,75%",31292,760,13000,616,454030,24504,"21,02%",203
30-mar-20,40,101700,4100,8436,"4,20%",11600,"11,41%",800,"9,48%","7,41%",31776,484,14600,1600,477359,23329,"17,57%",169
31-mar-20,41,105800,4100,6647,"4,03%",12400,"11,72%",800,"12,04%","6,90%",32215,439,15700,1100,506968,29609,"13,85%",133
01-apr-20,42,110500,4700,6548,"4,44%",13150,"11,90%",750,"11,45%","6,05%",32438,223,16850,1150,541423,34455,"13,64%",131
02-apr-20,43,115200,4700,5667,"4,25%",13900,"12,07%",750,"13,23%","5,70%",32593,155,18300,1450,581232,39809,"11,81%",114
03-apr-20,44,119800,4600,5718,"3,99%",14680,"12,25%",780,"13,64%","5,61%",32809,216,19750,1450,619849,38617,"11,91%",115
04-apr-20,45,124500,4700,6036,"3,92%",15360,"12,34%",680,"11,27%","4,63%",33004,195,21000,1250,657224,37375,"12,58%",121
05-apr-20,46,128900,4400,6169,"3,53%",15880,"12,32%",520,"8,43%","3,39%",32926,-78,21800,800,691461,34237,"12,85%",124
06-apr-20,47,132500,3600,5708,"2,79%",16500,"12,45%",620,"10,86%","3,90%",32874,-52,22800,1000,721732,30271,"11,89%",115
07-apr-20,48,135500,3000,4271,"2,26%",17100,"12,62%",600,"14,05%","3,64%",32510,-364,24400,1600,755445,33713,"8,90%",86
08-apr-20,49,139400,3900,3622,"2,88%",17670,"12,68%",570,"15,74%","3,33%",32178,-332,26490,2090,807125,51680,"7,55%",73
09-apr-20,50,143500,4100,4256,"2,94%",18280,"12,74%",610,"14,33%","3,45%",32004,-174,28500,2010,853369,46244,"8,87%",85
10-apr-20,51,147600,4100,3679,"2,86%",18849,"12,77%",569,"15,47%","3,11%",31739,-265,30455,1955,906864,53495,"7,66%",74
11-apr-20,52,152270,4670,3960,"3,16%",19468,"12,79%",619,"15,63%","3,28%",31525,-214,32530,2075,963473,56609,"8,25%",80
12-apr-20,53,156350,4080,4192,"2,68%",19900,"12,73%",432,"10,31%","2,22%",31190,-335,34200,1670,1010193,46720,"8,73%",84
13-apr-20,54,159500,3150,4118,"2,01%",20465,"12,83%",565,"13,72%","2,84%",31283,93,35435,1235,1046910,36717,"8,58%",83
14-apr-20,55,162488,2988,5356,"1,87%",21067,"12,97%",602,"11,24%","2,94%",31197,-86,37130,1695,1073689,26779,"11,16%",108
