data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,totale_casi,tamponi,casi_testati
2020-02-24T18:00:00,Lombardia,76,19,95,71,166,0,166,0,6,172,1463,
2020-02-25T18:00:00,Lombardia,79,25,104,127,231,65,68,0,9,240,3700,
2020-02-26T18:00:00,Lombardia,79,25,104,145,249,18,18,0,9,258,3208,
2020-02-27T18:00:00,Lombardia,172,41,213,136,349,100,145,40,14,403,3320,
2020-02-28T18:00:00,Lombardia,235,47,282,192,474,125,128,40,17,531,4835,
2020-02-29T17:00:00,Lombardia,256,80,336,216,552,78,84,40,23,615,5723,
2020-03-01T17:00:00,Lombardia,406,106,"51200,00%",375,887,335,369,73,24,984,6879,
2020-03-02T18:00:00,Lombardia,478,127,"60500,00%",472,1077,190,270,139,38,1254,7925,
2020-03-03T18:00:00,Lombardia,698,167,865,461,1326,249,266,139,55,1520,9577,
2020-03-04T17:00:00,Lombardia,877,209,1086,411,1497,171,300,250,73,1820,12138,
2020-03-05T17:00:00,Lombardia,1169,244,1413,364,1777,280,431,376,98,2251,12354,
2020-03-06T17:00:00,Lombardia,1622,309,1931,77,2008,231,361,469,135,2612,13556,
2020-03-07T18:00:00,Lombardia,1661,359,2020,722,2742,734,808,524,154,3420,15778,
2020-03-08T18:00:00,Lombardia,2217,399,2616,756,3372,630,769,550,267,4189,18534,
2020-03-09T18:00:00,Lombardia,2802,440,3242,1248,4490,1118,1280,646,333,5469,20135,
2020-03-10T18:00:00,Lombardia,3319,466,"378500,00%",642,4427,-63,322,896,468,5791,21479,
2020-03-11T17:00:00,Lombardia,3852,560,"441200,00%",1351,5763,1336,1489,900,617,7280,25629,
2020-03-12T17:00:00,Lombardia,4247,605,4852,2044,6896,1133,1445,1085,744,8725,29534,
2020-03-13T17:00:00,Lombardia,4435,650,5085,2647,7732,836,1095,1198,890,9820,32700,
2020-03-14T17:00:00,Lombardia,4898,732,5630,3429,9059,1327,1865,1660,966,11685,37138,
2020-03-15T17:00:00,Lombardia,5500,767,6267,3776,10043,984,1587,2011,1218,13272,40369,
2020-03-16T17:00:00,Lombardia,6171,823,6994,3867,10861,818,1377,2368,1420,14649,43565,
2020-03-17T17:00:00,Lombardia,6953,879,7832,4263,12095,1234,1571,2485,1640,16220,46449,
2020-03-18T17:00:00,Lombardia,7285,924,"820900,00%",4057,12266,171,1493,3488,1959,17713,48983,
2020-03-19T17:00:00,Lombardia,7387,1006,"839300,00%",5545,13938,1672,2171,3778,2168,19884,52244,
