data,cases,delta_cases,avg_3gg,delta_contagi_prot,new_cases_normalized,swabs_rl,positive_swabs_percentage,new_cases,new_cases_test_percentage,cumulative_cases_screening,daily_cases_screening,var_percentage
2020-02-20,3,3,,,,,,,,,,
2020-02-21,35,32,,,,,,,,,,
2020-02-22,71,36,,,,,,,,,,
2020-02-23,117,46,,166,,,,,,,,
2020-02-24,178,61,,68,,,,,,,,
2020-02-25,270,92,,18,,837,2.151,,,,,
2020-02-26,387,117,,145,,908,15.969,,,,,
2020-02-27,535,148,,128,,612,20.915,,,,,
2020-02-28,737,202,,84,,1015,8.276,,,,,
2020-02-29,1000,263,,369,33,888,41.554,,,,,
2020-03-01,1280,280,,270,35,1156,23.356,,,,,
2020-03-02,1680,400,,266,50,1046,25.430,,,,,
2020-03-03,2160,480,,300,60,1652,18.160,,,,,
2020-03-04,2790,630,,431,79,2561,16.829,,,,,
2020-03-05,3580,790,,361,99,1716,21.037,,,,,
2020-03-06,4500,920,,808,115,1702,47.474,,,,,
2020-03-07,5200,700,,769,88,2222,34.608,,,,,
2020-03-08,5960,760,,1280,95,2756,46.444,,,,,
2020-03-09,7180,1220,,322,153,1601,20.112,,,,,
2020-03-10,8500,1320,,1489,165,2444,60.925,,,,,
2020-03-11,9850,1350,,1445,169,4150,34.819,,,,,
2020-03-12,11200,1350,,1095,169,3905,28.041,,,,,
2020-03-13,12900,1700,,1865,213,3166,58.907,,,,,
2020-03-14,14270,1370,,1587,171,4438,35.759,,,,,
2020-03-15,15450,1180,,1377,148,3231,42.618,,,,,
2020-03-16,17580,2130,1800,1571,266,3196,49.155,,,,,
2020-03-17,19660,2080,,1493,260,2884,51.768,,,,,
2020-03-18,21820,2160,,2171,270,2534,85.675,,,,,
2020-03-19,24040,2220,2200,2380,278,3261,72.984,,,,,
2020-03-20,26250,2210,,3251,276,4930,65.943,,,,,
2020-03-21,27650,1400,,1691,175,9556,17.696,,,,,
2020-03-22,28800,1150,1587,1555,144,3868,40.202,,,,,
2020-03-23,31000,2200,,1942,275,2644,73.449,,,,,
2020-03-24,33150,2150,,1643,269,3453,47.582,,,,,
2020-03-25,35190,2040,2130,2543,255,4971,51.157,,,,,
2020-03-26,37230,2040,,2409,255,6047,39.838,,,,,
2020-03-27,39210,1980,,2117,248,8147,25.985,,,,,
2020-03-28,40575,1365,1795,1592,171,6643,23.965,,,,,
2020-03-29,41330,755,,1154,94,4895,23.575,,,,,
2020-03-30,43075,1745,,1047,218,3659,28.614,,,,,
2020-03-31,44620,1545,1348,1565,193,3583,43.678,,,,,
2020-04-01,46420,1800,,1292,225,6809,18.975,,,,,
2020-04-02,48020,1600,,1455,200,6837,21.281,,,,,
2020-04-03,49670,1650,1683,1598,206,6765,23.622,,,,,
2020-04-04,50730,1060,,1337,133,6826,19.587,,,,,
2020-04-05,51370,640,,1079,80,8107,13.309,,,,,
2020-04-06,52940,1570,1090,791,196,5005,15.804,,,,,
2020-04-07,54420,1480,,1089,185,4342,25.081,,,,,
2020-04-08,55910,1490,,1388,186,8226,16.873,,,,,
2020-04-09,57830,1920,1630,1246,240,9396,13.261,,,,,
2020-04-10,59880,2050,,1544,256,9372,16.475,,,,,
2020-04-11,61000,1120,,1460,140,9977,14.634,,,,,
2020-04-12,61570,570,1247,1262,71,9530,13.242,,,,,
2020-04-13,62130,560,,1012,70,5260,19.240,,,,,
2020-04-14,63270,1140,,827,143,3778,21.890,,,,,
2020-04-15,64640,1370,1023,941,171,7098,13.257,,,,,
2020-04-16,65880,1240,,1041,155,10706,9.724,,,,,
2020-04-17,67180,1300,,1246,163,10839,11.496,,,,,
2020-04-18,67900,720,1087,855,90,11818,7.235,,,,,
2020-04-19,69791,1891,,735,236,8824,8.330,,,,,
2020-04-20,70867,1076,,960,135,6331,15.163,,,,,
2020-04-21,71833,966,1311,1161,121,13502,8.599,10990,10.564,,,
2020-04-22,73048,1215,,1073,152,12016,8.930,6128,17.510,,,
2020-04-23,74079,1031,,1091,129,11583,9.419,5955,18.321,,,
2020-04-24,74580,501,916,713,63,12642,5.640,6421,11.104,,,
2020-04-25,74806,226,,920,28,10857,8.474,5644,16.300,,,
2020-04-26,75735,929,,590,116,5053,11.676,3052,19.332,,,
2020-04-27,76608,873,676,869,109,8573,10.136,5003,17.370,,,
2020-04-28,77667,1059,,786,132,14472,5.431,7426,10.584,,,
2020-04-29,78692,1025,,598,128,11048,5.413,5928,10.088,,,
2020-04-30,78954,262,782,737,33,13701,5.379,6942,10.617,,,
2020-05-01,79238,284,,533,36,13058,4.082,6561,8.124,,,
2020-05-02,79355,117,,526,15,7155,7.352,3793,13.868,,,
2020-05-03,80068,713,371,577,89,7978,7.232,4485,12.865,,,
2020-05-04,80834,766,,500,96,6455,7.746,3631,13.770,,,
2020-05-05,81534,700,,764,88,14516,5.263,7672,9.958,,,
2020-05-06,82244,710,725,720,89,15488,4.649,8000,9.000,,,
2020-05-07,82897,653,,634,82,10993,5.767,6000,10.567,,,
2020-05-08,83153,256,,502,32,11478,4.374,5711,8.790,,,
2020-05-09,83259,106,338,282,13,7369,3.827,4513,6.249,,,
2020-05-10,83754,495,,364,62,7508,4.848,5273,6.903,,,
2020-05-11,84185,431,,1033,54,20602,5.014,12549,8.232,,,
2020-05-12,84608,423,450,394,53,10919,3.608,5744,6.859,,,
2020-05-13,85011,403,,522,50,14080,3.707,7393,7.061,,,
2020-05-14,85371,360,,299,45,12162,2.458,6782,4.409,,,
2020-05-15,85678,307,357,399,38,14145,2.821,8172,4.883,,,
2020-05-16,85765,87,,326,11,11809,2.761,6921,4.710,,,
2020-05-17,86094,329,,175,41,5078,3.446,3049,5.740,,,
2020-05-18,86457,363,260,462,45,14918,3.097,10366,4.457,,,
2020-05-19,86838,381,,294,48,11500,2.557,6343,4.635,,,
2020-05-20,87185,347,,316,43,14700,2.150,8124,3.890,,,
2020-05-21,87629,444,391,293,56,19000,1.542,10888,2.691,,,
2020-05-22,87797,168,,441,21,17170,2.568,10714,4.116,,,
2020-05-23,87856,59,,285,7,11500,2.478,7350,3.878,,,
2020-05-24,88163,307,178,148,38,5640,2.624,3260,4.540,,,
2020-05-25,88515,352,,159,44,9100,1.747,5300,3.000,,,
2020-05-26,88871,356,,384,45,12500,3.072,7833,4.902,,,
2020-05-27,89193,322,343,382,40,15500,2.465,9085,4.205,,,
2020-05-28,89400,207,,354,26,14080,2.514,8300,4.265,,,
2020-05-29,89576,176,,221,22,14300,1.545,7550,2.927,,,
2020-05-30,89595,19,134,210,2,12400,1.694,7500,2.800,,,
2020-05-31,89589,-6,,50,-1,3500,1.429,1950,2.564,,,
2020-06-01,89840,251,,187,31,8674,2.156,3600,5.194,,,
2020-06-02,89971,131,125,237,16,11350,2.088,7280,3.255,,,
2020-06-03,90119,148,,84,19,3400,2.471,1880,4.468,,,
2020-06-04,90369,250,,402,31,19000,2.116,14300,2.811,,,
2020-06-05,90631,262,220,142,33,13700,1.036,5500,2.582,,,
2020-06-06,90745,114,,125,14,8000,1.563,5000,2.500,,,
2020-06-07,90778,33,,194,4,4488,4.323,3900,4.974,,,
